Número de Orden,Número de Mesa,Nombre del Plato,Descripción del Plato,Costo Unitario,Precio Unitario,Cantidad Ordenada,Tiempo de Preparación,Observaciones,Ganancia Bruta,Ganancia Neta,Porcentaje de Ganancia
1,10,Plato_7,Descripción del Plato_7,14,24,2,25,Ninguna,48,20,42.00%
1,10,Plato_2,Descripción del Plato_2,18,30,3,32,Sin cebolla,90,36,40.00%
2,6,Plato_17,Descripción del Plato_17,19,31,1,51,Ninguna,31,12,39.00%
2,6,Plato_6,Descripción del Plato_6,16,27,1,34,Sin cebolla,27,11,41.00%
3,20,Plato_20,Descripción del Plato_20,25,40,1,9,Sin cebolla,40,15,38.00%
3,20,Plato_17,Descripción del Plato_17,19,31,1,27,Ninguna,31,12,39.00%
3,20,Plato_19,Descripción del Plato_19,22,36,1,36,Ninguna,36,14,39.00%
3,20,Plato_9,Descripción del Plato_9,17,29,2,54,Sin cebolla,58,24,41.00%
4,3,Plato_11,Descripción del Plato_11,20,33,3,23,Sin cebolla,99,39,39.00%
4,3,Plato_16,Descripción del Plato_16,16,28,3,17,Ninguna,84,36,43.00%
5,8,Plato_12,Descripción del Plato_12,11,19,1,8,Ninguna,19,8,42.00%
5,8,Plato_7,Descripción del Plato_7,14,24,2,9,Sin cebolla,48,20,42.00%
6,7,Plato_8,Descripción del Plato_8,21,35,2,11,Sin cebolla,70,28,40.00%
7,17,Plato_15,Descripción del Plato_15,19,32,2,15,Sin cebolla,64,26,41.00%
7,17,Plato_19,Descripción del Plato_19,22,36,3,26,Ninguna,108,42,39.00%
8,11,Plato_5,Descripción del Plato_5,13,22,3,11,Ninguna,66,27,41.00%
8,11,Plato_16,Descripción del Plato_16,16,28,2,8,Ninguna,56,24,43.00%
8,11,Plato_20,Descripción del Plato_20,25,40,3,36,Ninguna,120,45,38.00%
9,15,Plato_2,Descripción del Plato_2,18,30,1,51,Ninguna,30,12,40.00%
9,15,Plato_7,Descripción del Plato_7,14,24,1,49,Sin cebolla,24,10,42.00%
9,15,Plato_12,Descripción del Plato_12,11,19,1,15,Ninguna,19,8,42.00%
9,15,Plato_15,Descripción del Plato_15,19,32,3,31,Ninguna,96,39,41.00%
10,17,Plato_18,Descripción del Plato_18,20,34,2,10,Sin cebolla,68,28,41.00%
10,17,Plato_20,Descripción del Plato_20,25,40,2,19,Ninguna,80,30,38.00%
11,14,Plato_16,Descripción del Plato_16,16,28,1,32,Sin cebolla,28,12,43.00%
11,14,Plato_2,Descripción del Plato_2,18,30,2,24,Sin cebolla,60,24,40.00%
12,14,Plato_16,Descripción del Plato_16,16,28,1,5,Sin cebolla,28,12,43.00%
12,14,Plato_19,Descripción del Plato_19,22,36,3,44,Ninguna,108,42,39.00%
12,14,Plato_8,Descripción del Plato_8,21,35,2,6,Ninguna,70,28,40.00%
12,14,Plato_20,Descripción del Plato_20,25,40,3,40,Ninguna,120,45,38.00%
13,2,Plato_9,Descripción del Plato_9,17,29,3,59,Sin cebolla,87,36,41.00%
14,16,Plato_3,Descripción del Plato_3,12,20,1,36,Ninguna,20,8,40.00%
14,16,Plato_11,Descripción del Plato_11,20,33,1,26,Ninguna,33,13,39.00%
14,16,Plato_14,Descripción del Plato_14,14,23,2,44,Sin cebolla,46,18,39.00%
14,16,Plato_2,Descripción del Plato_2,18,30,1,48,Ninguna,30,12,40.00%
15,6,Plato_16,Descripción del Plato_16,16,28,2,25,Ninguna,56,24,43.00%
15,6,Plato_13,Descripción del Plato_13,13,21,3,27,Ninguna,63,24,38.00%
15,6,Plato_8,Descripción del Plato_8,21,35,3,51,Ninguna,105,42,40.00%
16,20,Plato_16,Descripción del Plato_16,16,28,1,38,Ninguna,28,12,43.00%
17,14,Plato_8,Descripción del Plato_8,21,35,1,43,Sin cebolla,35,14,40.00%
17,14,Plato_4,Descripción del Plato_4,10,18,2,58,Ninguna,36,16,44.00%
17,14,Plato_5,Descripción del Plato_5,13,22,3,57,Sin cebolla,66,27,41.00%
18,9,Plato_9,Descripción del Plato_9,17,29,1,23,Ninguna,29,12,41.00%
18,9,Plato_20,Descripción del Plato_20,25,40,2,54,Ninguna,80,30,38.00%
18,9,Plato_10,Descripción del Plato_10,15,26,3,23,Ninguna,78,33,42.00%
18,9,Plato_15,Descripción del Plato_15,19,32,2,34,Ninguna,64,26,41.00%
19,18,Plato_20,Descripción del Plato_20,25,40,2,44,Sin cebolla,80,30,38.00%
