,Número de Mesa,Nombre del Cliente,Número de Comensales,Mesero Asignado,Tipo de Servicio,Método de Pago,Propina,Estado de la Mesa,Número de Orden,País de Origen,Platos Ordenados,Fecha de Factura,Hora de Llegada,Hora de Salida,Monto Total,Tiempo de Preparación,Tiempo en la Mesa,Tiempo de Permanencia,Tiempo de Degustación,La Cuenta fue Cobrada
0,10,Cliente_724,6,Mesero_3,Almuerzo,Tarjeta de débito,48.55,Reservada,1,España,"Plato_7, Plato_2",01/04/2023,01:07:00,03:50:00,138,0 days 02:26:00,0 days 02:43:00,0 days 02:43:00,0 days 00:17:00,Si
1,6,Cliente_538,6,Mesero_1,Desayuno,Efectivo,43.3,Reservada,2,Colombia,"Plato_17, Plato_6",01/04/2023,01:28:00,03:49:00,58,0 days 01:25:00,0 days 02:21:00,0 days 02:21:00,0 days 00:56:00,Si
2,20,Cliente_911,1,Mesero_2,Desayuno,Tarjeta de crédito,30.87,Libre,3,Brasil,"Plato_20, Plato_17, Plato_19, Plato_9",01/04/2023,00:29:00,03:56:00,165,0 days 03:00:00,0 days 03:27:00,0 days 03:27:00,0 days 00:27:00,Si
3,3,Cliente_129,1,Mesero_5,Almuerzo,Tarjeta de crédito,34.68,Libre,4,Paraguay,"Plato_11, Plato_16",01/04/2023,03:03:00,04:31:00,183,0 days 02:00:00,0 days 01:28:00,0 days 01:28:00,-1 days +23:28:00,No
4,8,Cliente_938,2,Mesero_4,Almuerzo,Tarjeta de crédito,24.33,Libre,5,Perú,"Plato_12, Plato_7",01/04/2023,00:01:00,02:06:00,67,0 days 00:26:00,0 days 02:05:00,0 days 02:05:00,0 days 01:39:00,Si
5,7,Cliente_965,5,Mesero_4,Cena,Tarjeta de crédito,26.57,Libre,6,Perú,Plato_8,01/04/2023,01:24:00,03:32:00,70,0 days 00:22:00,0 days 02:08:00,0 days 02:08:00,0 days 01:46:00,Si
6,17,Cliente_306,6,Mesero_2,Cena,Tarjeta de crédito,10.54,Ocupada,7,Venezuela,"Plato_15, Plato_19",01/04/2023,01:57:00,04:22:00,172,0 days 01:48:00,0 days 02:25:00,0 days 02:40:00,0 days 00:52:00,Si
7,11,Cliente_974,1,Mesero_2,Desayuno,Tarjeta de crédito,49.18,Reservada,8,Paraguay,"Plato_5, Plato_16, Plato_20",01/04/2023,02:11:00,04:49:00,242,0 days 02:37:00,0 days 02:38:00,0 days 02:38:00,0 days 00:01:00,Si
8,15,Cliente_740,5,Mesero_2,Almuerzo,Tarjeta de débito,46.85,Libre,9,Bolivia,"Plato_2, Plato_7, Plato_12, Plato_15",01/04/2023,02:03:00,04:25:00,169,0 days 03:28:00,0 days 02:22:00,0 days 02:22:00,-1 days +22:54:00,No
9,17,Cliente_33,1,Mesero_4,Almuerzo,Tarjeta de crédito,16.6,Ocupada,10,Uruguay,"Plato_18, Plato_20",01/04/2023,00:02:00,01:53:00,148,0 days 00:58:00,0 days 01:51:00,0 days 02:06:00,0 days 01:08:00,Si
10,14,Cliente_881,1,Mesero_1,Almuerzo,Tarjeta de crédito,32.89,Libre,11,Perú,"Plato_16, Plato_2",01/04/2023,03:46:00,06:33:00,88,0 days 01:20:00,0 days 02:47:00,0 days 02:47:00,0 days 01:27:00,Si
